,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
0,"Golden echoes drift like dust through yesterday's dim light,",light,light,tonight,And the sun is a golden ball that rolls through the sky tonight.,76,True
2,"In shadows deep where silence weeps,",weeps,weeps,keeps,"A tale of love, a story keeps.",31,True
9,"Though empires rise on whispers of might,",might,light,night,"And kingdoms fall with a single night,",115,True
11,"I wander shadowed halls of silent stone,",stone,stone,moan,Where echoes of the past still softly moan.,30,True
15,"In the shadow of the night, hope whispers to despair,",despair,despair,air,"A silent plea for solace, a prayer in the air.",84,True
17,"In trembling hands, the storm both swells and dies,",dies,dies,skies,"The wind and rain, the thunder and the skies.",126,True
18,"Though flesh may fade and tombs may rust with time,",time,time,sublime,"The soul's eternal, a spirit sublime.",150,True
19,"Roots buried deep in ancient soil,",soil,soil,toil,"A tree of life, a symbol of toil.",135,True
20,"In shadow’s clutch, the strongest will may kneel,",kneel,kneel,feel,"For in the darkest night, the bravest may feel.",128,True
21,"In strokes of light and whispers unseen,",unseen,unseen,serene,"A tale of love, a dream serene.",50,True
22,"Whispers of winter melt to spring's soft sigh,",sigh,sigh,sky,As nature's canvas paints a vibrant sky.,115,True
23,"I stepped through the veil of shadowed years,",years,years,tears,And found myself in a world of tears.,96,True
24,"Whispers curl like shadows at dawn,",dawn,dawn,yawn,As secrets dance in the twilight's yawn.,79,True
25,"Beneath a sky that shifts from blue to grey,",grey,grey,fray,"A lone figure stands, a silhouette in the fray.",22,True
27,"On tongues of time, flavors entwine,",entwine,entwine,design,"A symphony of taste, a culinary design.",99,True
28,"In whispers of dawn, the soul begins to pray,",pray,grey,way,"A silent plea, a heartfelt way.",60,True
30,"Two hearts entwined through time’s unyielding sweep,",sweep,sweep,deep,"A love that’s pure, a love that’s deep.",2,True
31,"Whispers of the hearth where the heart’s threads are spun,",spun,spun,won,"A tapestry of love, where the soul is won.",60,True
33,"Love is the flame that gentle does rise,",rise,dies,wise,And burns the heart that is not wise.,2,True
35,"Justice weeps in shadowed halls,",halls,halls,falls,"As the gavel falls, the gavel falls.",69,True
36,"Neon hums where tall shadows play,",play,grey,day,"A city's heartbeat, night and day.",56,True
38,"Anger boils like storm in night,",night,light,might,And the lightning strikes with might.,141,True
40,"Whispers coil like shadows, cold and tight,",tight,light,sight,"In the dark, they dance, a spectral sight.",138,True
41,"Like sunlight breaking through the clouds of gray,",gray,grey,day,A smile can brighten even the darkest day.,146,True
42,"In shadowed silence, time's hourglass bleeds,",bleeds,bleeds,needs,"A fleeting moment, a life's fleeting needs.",141,True
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,told,old,"As nature's palette paints the world, a tale of seasons old.",48,True
44,"The shadows stretch where laughter once was bright,",bright,light,might,A silent echo of a love that's lost its might.,98,True
45,"Beneath the canvas of twilight's embrace,",embrace,embrace,chase,"A symphony of colors, a celestial chase.",127,True
46,"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,light,night,"A beacon of hope, a promise of dawn, in the darkest night.",2,True
48,"Stars map my longing in the heavens’ sly embrace,",embrace,embrace,space,"As I yearn for you, my love, in this endless space.",27,True
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,stone,unknown,"A tapestry of choices, a life’s journey unknown.",43,True
50,"In whispers of light, the soul finds its creed,",creed,creed,lead,"A journey of faith, where love takes the lead.",97,True
51,"Freedom soars where chains once clung,",clung,clung,sung,In the heart of every soul it's sung.,54,True
54,"Blossoms bloom where laughter finds its way,",way,grey,play,"In the garden of joy, where dreams play.",128,True
55,"Threads of love woven through the years,",years,years,tears,"A tapestry of memories, laughter, and tears.",83,True
56,"Winds of liberty whisper through chains of control,",control,soul,soul,As the world awakens to the power of the soul.,67,True
57,Whispers of velvet and hues that sing—,sing,sing,king,"A tapestry of dreams, a love that's king.",43,True
59,"Whispers through the grass where the wild things dance,",dance,dance,romance,"A secret language, a silent romance.",48,True
60,"A bond unspoken, yet deep as the sea,",sea,sea,free,"A love that transcends time, eternally free.",48,True
61,"Whispers of winter melt into the bloom of spring’s embrace,",embrace,embrace,grace,As the world awakens to the symphony of nature’s grace.,146,True
65,"In the dance of flaw and flawless light,",light,light,flight,A symphony of shadows takes flight.,93,True
66,"Whispers of wind through the ancient oak's embrace,",embrace,embrace,grace,"A symphony of rustling leaves, a gentle grace.",99,True
67,"In mirrored shades where shadow dares to creep,",creep,sweep,weep,"A dance of light and dark, a silent weep.",87,True
68,"When whispered vows turn cold as winter skies,",skies,dies,lies,And love's sweet flame is snuffed by bitter lies.,11,True
69,"In the rhythm of shared breath, hearts weave a single song,",song,belong,belong,"A melody of love, where two souls belong.",21,True
70,"In brushstrokes of dawn, wild imagination ascends,",ascends,ascends,ends,"A canvas of dreams, where the heart never ends.",23,True
72,"A flawless sphere, yet marred by its glow,",glow,glow,woe,"A beacon of hope, yet a source of woe.",57,True
74,"Whispers of wild hearts beat beneath the moon's gentle gaze,",gaze,maze,haze,As the night's embrace weaves a tapestry of dreams and haze.,87,True
75,"A heartbeat hums where light once passed,",passed,past,cast,A shadow falls where light once cast.,35,True
76,"Colors whisper tales in hues once unknown,",unknown,stone,sown,"A palette of dreams, where shadows are sown.",60,True
77,"In shadowed chains, the spirit dares to sing,",sing,sing,thing,"A melody of hope, a whispered thing.",41,True
79,"It blooms in whispers, not in storm,",storm,storm,form,"A flower of love, a gentle form.",136,True
80,"I walked through the shadows where childhood once stayed,",stayed,stayed,decayed,And found a place where the past had decayed.,88,True
81,"Whispers of winds through ancient green trees,",trees,trees,breeze,A symphony of nature's gentle breeze.,83,True
82,"Whispers of yesterday dance on the winds of time,",time,time,sublime,"Echoes of love, a melody sublime.",74,True
83,"Together we rise, woven as one,",one,spun,spun,"In the tapestry of life, our bond is spun.",33,True
84,"Time’s tapestry threads with echoes of yore,",yore,soar,lore,A tapestry woven with threads of lore.,83,True
85,"Justice weeps in shadowed halls,",halls,halls,falls,"As the gavel falls, the gavel falls.",149,True
86,"Laughter echoes down the lane where sunlit days once played,",played,stayed,fade,"A memory of joy, a moment that won't fade.",79,True
87,"The hours drift like autumn leaves in twilight’s gentle stream,",stream,stream,dream,"As I sit here, lost in thought, in this quiet, peaceful dream.",108,True
88,"The road unwinds its thread through mist and sun,",sun,spun,begun,"A ribbon of light, a journey begun.",74,True
91,"In shadows deep where hope once danced with light,",light,light,night,"A tale of love, a story of the night.",103,True
93,"In laughter’s glow, where trust is sown,",sown,stone,known,"A bond of love, forever known.",111,True
94,"Voices echo, yet no hearts collide,",collide,collide,reside,"In the silence of the night, where dreams reside.",103,True
96,"In the shadowed heart where two winds meet,",meet,deceit,sweet,"A love story unfolds, a tale so sweet.",18,True
97,"Beneath the silence where whispers used to play,",play,grey,away,A heart once vibrant now fades away.,15,True
98,"With trembling hands, I reach to light the flame,",flame,name,name,"A spark of hope, a flicker of my name.",97,True
99,"Two hearts entwined, a promise made,",made,stayed,stayed,"In love's embrace, forever stayed.",128,True
101,"The shadows whisper threats they cannot name,",name,name,game,The darkness hides the secrets of the game.,99,True
102,"Silhouettes of solitude etched deep in vacant skies,",skies,dies,rise,"A silent symphony of sorrow, where tears silently rise.",30,True
103,"Shadows fall where once your laughter bloomed,",bloomed,bloomed,consumed,A silent echo of what once was consumed.,115,True
108,"In the shadows, whispers rise—half angel, half abyss,",abyss,abyss,bliss,"A tale of love and loss, a story of bliss.",38,True
111,"The thunder in his chest begins to roar,",roar,soar,more,As he looks at the girl he loves so much more.,17,True
115,"Roots whispered in stories older than stone,",stone,stone,alone,"A tale of love, a love that's not alone.",30,True
116,"Silent nights where echoes dwell,",dwell,dwell,tell,"In the heart's quiet, stories tell.",143,True
118,"Autumn's breath whispers through the trees,",trees,trees,breeze,A symphony of leaves in a gentle breeze.,70,True
124,"In the quiet dawn, where prayers and petals rise,",rise,dies,sighs,"A garden blooms, a sanctuary of sighs.",66,True
126,"Whispers of dread in the silence they creep,",creep,sweep,deep,"A haunting presence, a shadow so deep.",46,True
127,"In twilight's hush, where shadows dare to speak,",speak,speak,seek,"A tale of love, a story to seek.",144,True
128,"In starlit whispers, my hopes take flight,",flight,light,light,"As I dream of a future, bathed in light.",96,True
130,"The earth whispers tales through rustling green,",green,unseen,scene,"A symphony of life, a vibrant scene.",141,True
131,"In shadows cast by city lights, a thousand souls feel night,",night,light,plight,"A symphony of neon dreams, a dance of life and plight.",68,True
