,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
0,"Golden echoes drift like dust through yesterday's dim light,",light,light,flight,"A whisper of the past, a fleeting, silent flight.",121,True
6,"Whispers of dusk linger on the lips of time,",time,time,rhyme,"A fleeting echo, a silent, fleeting rhyme.",49,True
8,"The drums of time beat echoes of the past,",past,past,last,The stars above whisper secrets of the last.,165,True
9,"Though empires rise on whispers of might,",might,light,light,They fall to the weight of their own light.,49,True
18,"Though flesh may fade and tombs may rust with time,",time,time,rhyme,"The soul, in truth, is never bound by rhyme.",142,True
20,"In shadow’s clutch, the strongest will may kneel,",kneel,kneel,heal,"But in the light, the weak can rise and heal.",175,True
21,"In strokes of light and whispers unseen,",unseen,unseen,keen,"The night is painted, bold and keen.",219,True
22,"Whispers of winter melt to spring's soft sigh,",sigh,sigh,sky,A dance of frost and bloom in the sky.,192,True
27,"On tongues of time, flavors entwine,",entwine,entwine,design,"A dance of taste, a sweet design.",185,True
29,"Shadows whisper secrets loud in trembling breast,",breast,breast,chest,The moonlight dances on the silent chest.,75,True
30,"Two hearts entwined through time’s unyielding sweep,",sweep,sweep,keep,"A dance of souls in endless, tender keep.",176,True
31,"Whispers of the hearth where the heart’s threads are spun,",spun,spun,done,"A tale of the past, a story to be done.",156,True
34,"Fury burns where calm once stayed,",stayed,stayed,betrayed,"A storm of rage, a heart that's broken and betrayed.",130,True
36,"Neon hums where tall shadows play,",play,grey,gray,A ghostly waltz in the night's gray.,30,True
38,"Anger boils like storm in night,",night,light,light,But calmness brings peace to light.,178,True
39,"Whispers cloaked in honeyed lies, the blade of betrayal still gleams in trust’s disguise,",disguise,dies,prize,"A dance of shadows, where the heart is a pawn, and the soul is a prize.",82,True
41,"Like sunlight breaking through the clouds of gray,",gray,grey,way,"The truth is shining bright, and I can see the way.",6,True
48,"Stars map my longing in the heavens’ sly embrace,",embrace,embrace,grace,"A silent hymn, a whisper, a promise of grace.",96,True
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,stone,known,"A fleeting echo, a whisper of what I’ve known.",6,True
50,"In whispers of light, the soul finds its creed,",creed,creed,need,"In shadows of night, the heart seeks the need.",117,True
51,"Freedom soars where chains once clung,",clung,clung,young,"A nation's soul, unbound, is young.",75,True
