,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
21,"In strokes of light and whispers unseen,",unseen,unseen,seen,A silent art that time has seen.,310,True
29,"Shadows whisper secrets loud in trembling breast,",breast,breast,guest,"And the moon's pale light, a silent, watchful guest.",82,True
33,"Love is the flame that gentle does rise,",rise,dies,prize,"And the heart's first love, the soul's first prize.",412,True
36,"Neon hums where tall shadows play,",play,grey,day,A city of light and day.,88,True
38,"Anger boils like storm in night,",night,light,light,A storm that's not to be light.,417,True
41,"Like sunlight breaking through the clouds of gray,",gray,grey,day,"A new beginning, a fresh start, a new day.",473,True
46,"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,light,bright,"A world of dreams, where hope and fear are but fleeting, bright.",576,True
54,"Blossoms bloom where laughter finds its way,",way,grey,stay,"A garden of joy, a place to stay.",230,True
55,"Threads of love woven through the years,",years,years,tears,A tapestry of joy and tears.,448,True
56,"Winds of liberty whisper through chains of control,",control,soul,soul,"A song of freedom, a call to the soul.",399,True
57,Whispers of velvet and hues that sing—,sing,sing,ting,"A world of dreams, a realm of ting.",337,True
60,"A bond unspoken, yet deep as the sea,",sea,sea,free,"A trust that stands strong, though the world may be free.",57,True
65,"In the dance of flaw and flawless light,",light,light,bright,"A mirror of the soul, both dark and bright.",473,True
66,"Whispers of wind through the ancient oak's embrace,",embrace,embrace,grace,A symphony of leaves in the autumn's grace.,230,True
67,"In mirrored shades where shadow dares to creep,",creep,sweep,sleep,"A world of light, a world of dark, a world of sleep.",29,True
72,"A flawless sphere, yet marred by its glow,",glow,glow,woe,"A perfect circle, yet a circle of woe.",265,True
81,"Whispers of winds through ancient green trees,",trees,trees,breeze,A symphony of leaves in the breeze.,29,True
82,"Whispers of yesterday dance on the winds of time,",time,time,rhyme,"A tale of love, a tale of loss, a tale of rhyme.",305,True
88,"The road unwinds its thread through mist and sun,",sun,spun,fun,"A path of light, a path of shadow, a path of fun.",202,True
97,"Beneath the silence where whispers used to play,",play,grey,day,"A secret, a dream, a fleeting, a ray of day.",508,True
101,"The shadows whisper threats they cannot name,",name,name,flame,"A silent war in the dark, a hidden flame.",471,True
115,"Roots whispered in stories older than stone,",stone,stone,unknown,"A tale of the old, the young, the unknown.",538,True
130,"The earth whispers tales through rustling green,",green,unseen,scene,"A symphony of life, a gentle scene.",558,True
132,"Beneath the brush of dawn’s soft light,",light,light,might,"A world of dreams, a realm of might.",250,True
135,"Whispers of the past linger where old shadows dance,",dance,dance,chance,"A tale of love, a tale of loss, a tale of chance.",387,True
150,"Wings of dawn clash with iron night,",night,light,fight,A battle of light and shadow's fight.,544,True
162,"Colors whisper secrets where wild imaginations tread,",tread,thread,led,"A world of wonder, where the mind can't be led.",21,True
166,"In shadows crowned, the weak wear might unseen,",unseen,unseen,seen,"But the strong, with might, do not need to be seen.",72,True
169,"Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,",light,light,might,"A tale of resilience, where the past and present meet in a dance of might.",202,True
183,"A silent tear on truth's tightrope spin,",spin,spin,sin,"A single drop of blood, a single sin.",404,True
187,"Two hearts entwined where the vows take flight,",flight,light,bright,"A love that's true, a love that's bright.",280,True
202,"The morning sun spills gold through trees,",trees,trees,breeze,"A gentle breeze, a soft, warm breeze.",473,True
206,"When silence speaks, the heart turns cold,",cold,told,bold,"And the world is still, the soul is bold.",357,True
225,"In whispers clad in velvet tone,",tone,stone,stone,The moonlight dances on the stone.,300,True
230,"In the mirror of the soul, a thousand faces fade,",fade,stayed,shade,"But the true self remains, a silent, unchanging shade.",150,True
250,"Shells light the night where no stars intervene,",intervene,unseen,scene,"A moonless sky, a silent, empty scene.",206,True
258,"Whispers of the wild through ancient trees,",trees,trees,breeze,A symphony of leaves in the breeze.,187,True
264,"Thunder roars in chains of might,",might,light,light,A storm of fire and of light.,412,True
265,"Like echoes in a hall of old,",old,told,gold,Where memories are stored in gold.,404,True
273,"Time etches stories in silvered strands,",strands,strands,lands,"A tale of two hearts, a tale of two lands.",380,True
274,"In whispers of time, the past’s silent flame burns bright,",bright,light,right,"A flickering candle in the dark, a memory that’s not quite right.",36,True
280,"The dawn breaks softly on youthful years,",years,years,tears,"A time of wonder, a time of tears.",57,True
299,"In shadowed chains, the soul still dares to fly,",fly,sigh,sigh,"A silent song, a whisper, a sigh.",60,True
300,"Two hearts entwined, a vow they seal,",seal,kneel,real,"A love that burns, a bond that's real.",258,True
305,"Blood paints the dawn where steel and silence wed,",wed,thread,dead,"A battle of the soul, a war of the dead.",388,True
306,"In whispers of light, belief takes its flight,",flight,light,right,"A spark of hope, a flame that's not quite right.",130,True
310,"The clock’s soft whisper weaves through every hour,",hour,hour,power,"A silent sentinel, time’s unyielding power.",258,True
311,"Green whispers weave through the waking trees,",trees,trees,breeze,A symphony of leaves in the breeze.,135,True
315,"In twilight’s grasp, where shadows whisper low,",low,glow,glow,The moonlight paints the world in silver glow.,538,True
326,"The ashes speak of names that outlive flame,",flame,name,name,And the wind carries the scent of a name.,388,True
331,"Shells scream through the shrouded sky,",sky,sigh,eye,A thousand stars in a single eye.,368,True
337,"Whispers of winter melt into spring's tender hue,",hue,new,true,"A gentle breeze, a soft, warm, and sweet, and true.",310,True
338,"Whispers of absence haunt the hush where laughter lay,",lay,grey,day,A ghostly echo in the silence of the day.,115,True
340,"Whispers of the wind through leaves that sway,",sway,grey,stray,A gentle breeze that carries away the day's stray.,391,True
344,"With dawn’s first breath, I pack my dreams in tow,",tow,glow,flow,"And step into the world, where life begins to flow.",595,True
357,"Beneath the dusk of dying light,",light,light,bright,"The stars are dim, the sky is bright.",399,True
368,"Threads of love wove through the years,",years,years,tears,A tapestry of joy and tears.,438,True
371,"Through storm and strife, our souls entwine,",entwine,entwine,vine,"A bond of love, a sacred vine.",310,True
380,"Two souls entwined, a bond unchained, eternal in its strain,",strain,rain,pain,"A love that's not a fleeting flame, but a steadfast flame, unyielding in its pain.",399,True
387,"Whispers of wind through ancient oak trees,",trees,trees,breeze,A symphony of leaves in the breeze.,448,True
388,"Beneath the skin, a thousand stories hum,",hum,from,drum,"Each pulse a tale, each breath a drum.",429,True
391,"Like twin shadows dancing on the edge of dawn's first light,",light,light,might,"They move in perfect harmony, a dance of grace and might.",55,True
392,"Whispers of the wild dance on the breeze,",breeze,trees,trees,A symphony of leaves in the trees.,38,True
399,"When laughter dances on the morning’s air,",air,despair,fair,"And the sun smiles down on the world so fair,",412,True
