,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
0,"Golden echoes drift like dust through yesterday's dim light,",light,light,night,"A silent promise whispered in the fading, starry night.",55,True
1,"I wandered shadows seeking light in the mirror of my soul,",soul,soul,whole,"And found a strength I didn't know, making me beautifully whole.",19,True
2,"In shadows deep where silence weeps,",weeps,weeps,keeps,A hidden truth the darkness keeps.,114,True
3,"In the quiet of the soul, a light divine remains,",remains,remains,rains,A gentle warmth that whispers through life's changing rains.,76,True
4,"Sweet whispers dance on tongues of time,",time,time,sublime,"A gentle echo, a memory sublime.",19,True
5,"With each year, the childhood veil dissolves,",dissolves,dissolves,resolves,And wisdom's gentle light resolves.,66,True
6,"Whispers of dusk linger on the lips of time,",time,time,paradigm,"A silent promise, a beautiful paradigm.",86,True
7,"Though flesh may fade and time may soar,",soar,soar,evermore,True love's embrace will evermore.,108,True
8,"The drums of time beat echoes of the past,",past,past,fast,"A fleeting moment, fading far too fast.",98,True
9,"Though empires rise on whispers of might,",might,light,light,True strength is found in kindness and light.,98,True
10,"Guns awaken the earth like a curse from her dreams,",dreams,dreams,beams,Leaving behind only silence and shattered beams.,35,True
11,"I wander shadowed halls of silent stone,",stone,stone,alone,"A lonely echo, utterly alone.",87,True
12,"Two hearts entwined where promises bloom,",bloom,bloom,gloom,"Dispelling shadows, chasing away gloom.",73,True
14,"Laughter echoes soft as the breeze through old trees,",trees,trees,ease,Bringing joy and comfort with effortless ease.,59,True
15,"In the shadow of the night, hope whispers to despair,",despair,despair,prayer,"A gentle light, a silent prayer.",10,True
16,"A hearth that glows where the heart finds its name,",name,name,flame,"A cozy haven, escaping the flame.",77,True
17,"In trembling hands, the storm both swells and dies,",dies,dies,eyes,A fleeting glimpse of heaven in your eyes.,40,True
19,"Roots buried deep in ancient soil,",soil,soil,toil,"A silent strength, a patient toil.",1,True
21,"In strokes of light and whispers unseen,",unseen,unseen,scene,"A painted dream, a vibrant scene.",44,True
22,"Whispers of winter melt to spring's soft sigh,",sigh,sigh,sky,As nature awakens beneath a bright sky.,1,True
23,"I stepped through the veil of shadowed years,",years,years,tears,"And found a world of laughter, joy, and tears.",50,True
24,"Whispers curl like shadows at dawn,",dawn,dawn,drawn,"A silent promise, softly drawn.",35,True
25,"Beneath a sky that shifts from blue to grey,",grey,grey,day,A lonely robin sings the close of day.,95,True
26,"Where echoes of laughter dwell, I am not lost among the walls—I belong,",belong,belong,song,"A cherished memory, a comforting song.",90,True
27,"On tongues of time, flavors entwine,",entwine,entwine,divine,"A culinary dance, truly divine.",99,True
28,"In whispers of dawn, the soul begins to pray,",pray,grey,way,"For strength and for guidance, to light up the way.",107,True
29,"Shadows whisper secrets loud in trembling breast,",breast,breast,blessed,"While moonlight paints the world in silver, soft, and blessed.",33,True
30,"Two hearts entwined through time’s unyielding sweep,",sweep,sweep,keep,"A love eternal, secrets they will keep.",70,True
31,"Whispers of the hearth where the heart’s threads are spun,",spun,spun,done,A cozy embrace when the day is done.,87,True
33,"Love is the flame that gentle does rise,",rise,dies,eyes,Reflecting warmth in your beautiful eyes.,0,True
34,"Fury burns where calm once stayed,",stayed,stayed,betrayed,"A shattered heart, a love betrayed.",15,True
35,"Justice weeps in shadowed halls,",halls,halls,falls,While innocence silently falls.,27,True
36,"Neon hums where tall shadows play,",play,grey,gray,Another night melts into the gray.,79,True
37,"Whispers coil like shadows in the mind’s tight maze,",maze,maze,days,"Lost in thought, through memory’s hazy days.",36,True
38,"Anger boils like storm in night,",night,light,light,"Leaving wreckage, dimming light.",93,True
40,"Whispers coil like shadows, cold and tight,",tight,light,light,"Lost in darkness, banished from the light.",70,True
41,"Like sunlight breaking through the clouds of gray,",gray,grey,day,Your smile brightens every single day.,51,True
42,"In shadowed silence, time's hourglass bleeds,",bleeds,bleeds,seeds,"A fleeting moment, planting future seeds.",28,True
44,"The shadows stretch where laughter once was bright,",bright,light,light,A silent echo in the fading light.,35,True
45,"Beneath the canvas of twilight's embrace,",embrace,embrace,space,"Stars ignite, adorning time and space.",33,True
46,"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,light,bright,"Though darkness lingers, hope's gentle ember, forever burns bright.",109,True
47,"Winds whisper secrets of roads yet to be trod,",trod,trod,god,"A journey awaits, blessed by the hand of God.",65,True
48,"Stars map my longing in the heavens’ sly embrace,",embrace,embrace,place,While moonbeams whisper solace in this lonely place.,77,True
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,stone,own,"A tapestry of moments, uniquely my own.",69,True
50,"In whispers of light, the soul finds its creed,",creed,creed,need,"A gentle embrace, a comforting need.",3,True
51,"Freedom soars where chains once clung,",clung,clung,sung,"A hopeful song, forever sung.",9,True
53,"The reaper’s shadow lengthens with the noon,",noon,noon,moon,A silent promise of a harvest moon.,11,True
