,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
2,"In shadows deep where silence weeps,",weeps,weeps,sleeps,"Lost in memories, softly sleeps.",80,True
4,"Sweet whispers dance on tongues of time,",time,time,rhyme,And memories bloom in silent rhyme.,34,True
8,"The drums of time beat echoes of the past,",past,past,fast,"And shadows lengthen, fading fast.",187,True
9,"Though empires rise on whispers of might,",might,light,light,And shadows fall in fading light.,134,True
11,"I wander shadowed halls of silent stone,",stone,stone,alone,"Lost in echoes, utterly alone.",31,True
14,"Laughter echoes soft as the breeze through old trees,",trees,trees,ease,"And memories dance, a gentle ease.",98,True
17,"In trembling hands, the storm both swells and dies,",dies,dies,skies,"And shadows lengthen, lost to skies.",138,True
18,"Though flesh may fade and tombs may rust with time,",time,time,rhyme,…eternal beauty finds its rhyme.,187,True
19,"Roots buried deep in ancient soil,",soil,soil,toil,Whispers of a forgotten toil.,156,True
21,"In strokes of light and whispers unseen,",unseen,unseen,scene,"The world transforms, a vibrant scene.",145,True
23,"I stepped through the veil of shadowed years,",years,years,fears,And lost my way in silent fears.,54,True
25,"Beneath a sky that shifts from blue to grey,",grey,grey,away,The world feels lost and far away.,141,True
27,"On tongues of time, flavors entwine,",entwine,entwine,decline,"And memories bloom, a sweet decline.",115,True
28,"In whispers of dawn, the soul begins to pray,",pray,grey,away,And chase the shadows far away.,98,True
29,"Shadows whisper secrets loud in trembling breast,",breast,breast,test,"The moonbeams dance, a silver test.",23,True
30,"Two hearts entwined through time’s unyielding sweep,",sweep,sweep,keep,"And memories bloom, a silent, precious keep.",124,True
31,"Whispers of the hearth where the heart’s threads are spun,",spun,spun,begun,"And memories bloom, eternally begun.",65,True
33,"Love is the flame that gentle does rise,",rise,dies,skies,And fade into a quiet skies.,4,True
34,"Fury burns where calm once stayed,",stayed,stayed,unafraid,"And shadows lengthen, unafraid.",69,True
35,"Justice weeps in shadowed halls,",halls,halls,walls,Silence echoes through the walls.,4,True
