,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,found_valid_row,chosen_index,original_generation
0,"Golden echoes drift like dust through yesterday's dim light,",light,sight,light,True,True,71,"Whispers of the sun in shadows, fading from sight."
1,"I wandered shadows seeking light in the mirror of my soul,",soul,scroll,soul,True,True,25,"But found instead a silent whisper, soft as dusk's controlling scroll."
2,"In shadows deep where silence weeps,",weeps,keeps,weeps,True,True,157,The moon whispers through the dark it keeps.
4,"Sweet whispers dance on tongues of time,",time,rhyme,time,True,True,104,Soft echoes lost in rhythm's rhyme.
6,"Whispers of dusk linger on the lips of time,",time,rhyme,time,True,True,25,Echoes of day fade into the rhyme.
7,"Though flesh may fade and time may soar,",soar,evermore,soar,True,True,87,The soul's true fire will evermore.
8,"The drums of time beat echoes of the past,",past,cast,past,True,True,115,The shadows dance where memories are cast.
9,"Though empires rise on whispers of might,",might,flight,light,True,True,143,They fall to silence when the stars take flight.
11,"I wander shadowed halls of silent stone,",stone,overthrown,stone,True,True,130,Where echoes whisper tales long overthrown.
12,"Two hearts entwined where promises bloom,",bloom,gloom,bloom,True,True,45,"A love eternal, in moonlight's sweet gloom."
15,"In the shadow of the night, hope whispers to despair,",despair,bare,despair,True,True,114,A silent spark ignites what once was laid bare.
16,"A hearth that glows where the heart finds its name,",name,flame,name,True,True,99,A shadow that fades where the soul feels the flame.
19,"Roots buried deep in ancient soil,",soil,foil,soil,True,True,76,Branches reach where the sky is foil.
20,"In shadow’s clutch, the strongest will may kneel,",kneel,feel,kneel,True,True,15,"But in the dark, the boldest hearts still feel."
22,"Whispers of winter melt to spring's soft sigh,",sigh,sky,sigh,True,True,105,Blossoms awaken 'neath a blushing sky.
23,"I stepped through the veil of shadowed years,",years,nears,years,True,True,51,And found the past still waiting nears.
24,"Whispers curl like shadows at dawn,",dawn,drawn,dawn,True,True,1,Secrets bloom where the light is drawn.
25,"Beneath a sky that shifts from blue to grey,",grey,away,grey,True,True,64,The wind begins to whisper as the day fades away.
28,"In whispers of dawn, the soul begins to pray,",pray,day,grey,True,True,1,For light to guide it through the coming day.
30,"Two hearts entwined through time’s unyielding sweep,",sweep,keep,sweep,True,True,66,"A bond no storm, no shadow, nor deceit could keep."
31,"Whispers of the hearth where the heart’s threads are spun,",spun,sun,spun,True,True,45,Echoes of love in the fire’s warm sun.
33,"Love is the flame that gentle does rise,",rise,eyes,dies,True,True,127,"Not in the blaze, but in the eyes."
34,"Fury burns where calm once stayed,",stayed,made,stayed,True,True,124,Storms arise where peace was made.
35,"Justice weeps in shadowed halls,",halls,walls,halls,True,True,137,Where truth is bound by silent walls.
36,"Neon hums where tall shadows play,",play,day,grey,True,True,144,Whispers echo in the light of day.
37,"Whispers coil like shadows in the mind’s tight maze,",maze,ways,maze,True,True,43,"Echoes of the past in silent, winding ways."
38,"Anger boils like storm in night,",night,light,light,True,True,100,Hope flickers like a candle's light.
40,"Whispers coil like shadows, cold and tight,",tight,night,light,True,True,126,Echoes hum a lullaby of night.
41,"Like sunlight breaking through the clouds of gray,",gray,way,grey,True,True,0,Hope blooms anew to light the way.
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,unfold,told,True,True,22,"The moon ascends with silent grace, its silver light unfold."
44,"The shadows stretch where laughter once was bright,",bright,night,light,True,True,41,The echoes fade into the night.
45,"Beneath the canvas of twilight's embrace,",embrace,trace,embrace,True,True,104,"The stars whisper secrets in their soft, silver trace."
48,"Stars map my longing in the heavens’ sly embrace,",embrace,erase,embrace,True,True,51,Moonlight whispers secrets only shadows can erase.
50,"In whispers of light, the soul finds its creed,",creed,seed,creed,True,True,153,"Amidst the shadows, hope plants its seed."
51,"Freedom soars where chains once clung,",clung,sung,clung,True,True,115,Hope is born where courage's sung.
54,"Blossoms bloom where laughter finds its way,",way,day,grey,True,True,88,Whispers of joy on the breeze each day.
56,"Winds of liberty whisper through chains of control,",control,whole,soul,True,True,65,A fire is lit in the hearts of the whole.
57,Whispers of velvet and hues that sing—,sing,cling,sing,True,True,37,A symphony dances where the fireflies cling.
58,"A shadow fades where the flame won’t die,",die,cry,sigh,True,True,44,A whisper lingers where the silent cry.
59,"Whispers through the grass where the wild things dance,",dance,trance,dance,True,True,43,Moonlight paints the shadows in silver trance.
60,"A bond unspoken, yet deep as the sea,",sea,me,sea,True,True,138,A silent devotion that binds you and me.
61,"Whispers of winter melt into the bloom of spring’s embrace,",embrace,chase,embrace,True,True,88,As frost retreats and tender petals chase.
64,"Brushstrokes whisper where the soul once dreamed,",dreamed,seemed,dreamed,True,True,156,Colors fade where silent thoughts had seemed.
65,"In the dance of flaw and flawless light,",light,right,light,True,True,108,We find our truth in what feels right.
66,"Whispers of wind through the ancient oak's embrace,",embrace,trace,embrace,True,True,92,Echoes of time in its gnarled bark's trace.
