,first_line,first_last_word,rhyme_group,second_last_word,original_generation,chosen_index,found_valid_row
0,"Golden echoes drift like dust through yesterday's dim light,",light,light,night,Silver whispers fade to silence in the coming night.,37,True
2,"In shadows deep where silence weeps,",weeps,weeps,keeps,A lonely heart its secrets keeps.,14,True
4,"Sweet whispers dance on tongues of time,",time,time,rhyme,Where silent secrets softly rhyme.,53,True
6,"Whispers of dusk linger on the lips of time,",time,time,rhyme,Shadows of dawn dance in the eyes of rhyme.,14,True
8,"The drums of time beat echoes of the past,",past,past,last,The rhythm of the future soon will last.,43,True
9,"Though empires rise on whispers of might,",might,light,night,They fall on silence in the dead of night.,29,True
10,"Guns awaken the earth like a curse from her dreams,",dreams,dreams,streams,And silence returns like a shroud on her streams.,55,True
11,"I wander shadowed halls of silent stone,",stone,stone,known,Where ancient whispers softly are known.,48,True
13,"Through vows entwined, two hearts commit, one journey built on love and grit,",grit,grit,quit,"With promises kept, their spirits lift, a bond that never will quit.",40,True
14,"Laughter echoes soft as the breeze through old trees,",trees,trees,breeze,Joyful hearts dance in the summer breeze.,9,True
16,"A hearth that glows where the heart finds its name,",name,name,same,A flame that burns to keep the spirit the same.,50,True
18,"Though flesh may fade and tombs may rust with time,",time,time,rhyme,Yet truth shall rise to claim its rightful rhyme.,31,True
22,"Whispers of winter melt to spring's soft sigh,",sigh,sigh,fly,And frozen rivers learn to dance and fly.,0,True
23,"I stepped through the veil of shadowed years,",years,years,tears,And found the dawn behind the tears.,31,True
25,"Beneath a sky that shifts from blue to grey,",grey,grey,stay,The clouds will part to let the sunshine stay.,0,True
27,"On tongues of time, flavors entwine,",entwine,entwine,align,Where ancient spices and new dreams align.,36,True
28,"In whispers of dawn, the soul begins to pray,",pray,grey,way,"In shadows of night, the heart finds its way.",29,True
29,"Shadows whisper secrets loud in trembling breast,",breast,breast,rest,And silence screams a truth that cannot rest.,60,True
30,"Two hearts entwined through time’s unyielding sweep,",sweep,sweep,deep,Two souls united in a promise deep.,25,True
31,"Whispers of the hearth where the heart’s threads are spun,",spun,spun,done,Where the fire's glow begins to fade and the day is done.,45,True
33,"Love is the flame that gentle does rise,",rise,dies,dies,And burns with a light that never dies.,60,True
35,"Justice weeps in shadowed halls,",halls,halls,calls,Where truth is lost and silence calls.,0,True
36,"Neon hums where tall shadows play,",play,grey,sway,Where electric dreams begin to sway.,11,True
37,"Whispers coil like shadows in the mind’s tight maze,",maze,maze,blaze,Where silent fears begin to softly blaze.,22,True
38,"Anger boils like storm in night,",night,light,fright,And reason fades in sudden fright.,57,True
39,"Whispers cloaked in honeyed lies, the blade of betrayal still gleams in trust’s disguise,",disguise,dies,guise,Where silent tears for broken vows now weep in sorrow's endless guise.,28,True
40,"Whispers coil like shadows, cold and tight,",tight,light,light,Secrets hide within the fading light.,48,True
41,"Like sunlight breaking through the clouds of gray,",gray,grey,day,It chases away the shadows of the day.,37,True
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,told,hold,Where ancient roots and silence hold.,22,True
44,"The shadows stretch where laughter once was bright,",bright,light,flight,And silence fills the space where joy took flight.,28,True
45,"Beneath the canvas of twilight's embrace,",embrace,embrace,race,The stars ignite in a silent race.,25,True
46,"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,light,night,Where hope awakes to banish the night.,49,True
48,"Stars map my longing in the heavens’ sly embrace,",embrace,embrace,space,"And weave my dreams in silver, silent space.",49,True
49,"In the mirror of time, I trace the shadow I’ve sown,",sown,stone,own,Where the light I stole is now my own.,44,True
50,"In whispers of light, the soul finds its creed,",creed,creed,need,"In shadows of night, the heart finds its need.",2,True
53,"The reaper’s shadow lengthens with the noon,",noon,noon,soon,The harvest moon begins to soon.,8,True
54,"Blossoms bloom where laughter finds its way,",way,grey,day,And joy takes root in every single day.,9,True
55,"Threads of love woven through the years,",years,years,tears,A tapestry of joy and tears.,31,True
57,Whispers of velvet and hues that sing—,sing,sing,cling,Shadows that dance where the light does cling.,44,True
60,"A bond unspoken, yet deep as the sea,",sea,sea,be,"A promise kept, though never said to be.",14,True
